Département,Date de mise en service,Nom de la voie,Sens de circulation,Nombre de dossiers d'infractions
15,01/03/2011,RN122,MAURS vers AURILLAC,3813
15,04/03/2011,RD920,ARPAJON SUR CERE vers MONTSALVY,1001
15,19/05/2011,RN122,AURILLAC vers MAURS,2987
16,09/12/2003,RN10,PARIS VERS BORDEAUX,7883
16,16/12/2003,RN10,BORDEAUX VERS PARIS,2090
16,12/05/2005,RD737,AIGRE vers ANGOULEME,714
16,20/10/2005,RD939,ANGOULEME VERS ST JEAN D ANGELY,3033
16,30/06/2006,RD939,ST JEAN D ANGELY VERS ANGOULEME,5314
16,27/07/2006,RD951,ST CLAUD vers CONFOLENS,3511
16,16/10/2006,VOIE DE L'EUROPE (VC E130),MA CAMPAGNE VERS CENTRE VILLE,179
16,26/03/2007,RD939,PERIGUEUX vers ANGOULEME,1715
16,09/04/2007,RN141,COGNAC VERS ANGOULEME,2422
16,05/11/2007,RN10,ANGOULEME vers POITIERS,5417
16,20/10/2008,RD1000,NERSAC vers MAGNAC SUR TOUVRE,19440
16,25/11/2008,RD674,Angoulême vers Chalais,115
16,16/01/2009,RD731,BARBEZIEUX ST HILAIRE VERS COGNAC,3000
16,17/02/2009,RN141,ANGOULEME vers COGNAC,4891
16,22/05/2009,RD1000,ST MICHEL vers ANGOULEME,5696
16,27/07/2009,RD948,ETAGNAC vers CONFOLENS,1900
17,19/12/2003,RD137,ROCHEFORT VERS DOMPIERRE SUR MER,7039
17,05/08/2004,RN237,ST MARTIN DE RE VERS ROCHEFORT,11791
17,13/01/2005,RN150,SAINTES VERS ROYAN,428
17,06/04/2005,RD137,LA ROCHELLE vers FONTENAY LE COMTE,3715
17,06/08/2005,RD728,SAINTES vers LA CLISSE,3165
17,12/12/2005,RD732,COZES vers GEMOZAC,515
17,21/02/2006,RD137,SAINTES vers BORDEAUX,11077
17,26/03/2007,RD14,SAUJON vers ETAULES,4535
17,30/04/2007,RN141,ANGOULEME VERS ROYAN,9
17,20/03/2008,RD137,SAINTES VERS ROCHEFORT,3241
17,13/06/2008,RD150,SAINTES vers ST JEAN D ANGELY,4542
17,30/07/2008,RD728,SAINTES VERS MARENNES,5620
17,02/01/2009,RD24,SAINTES VERS CHANIERS,1498
17,14/01/2009,RD24,Chaniers vers Saintes,3272
17,06/01/2011,RD911,SURGERES VERS MAUZE SUR LE MIGNON,7974
17,24/03/2011,RD137,ROCHEFORT vers TONNAY CHARENTE,1678
17,26/08/2011,RD939,CROIX CHAPEAU VERS LA JARNE,2910
17,03/03/2015,RD5,AIGREFEUILLE D AUNIS VERS ROCHEFORT,3345
18,20/12/2004,RD940,BOURGES VERS MONTARGIS,1279
18,04/05/2005,RD925,LIGNIERES vers ST AMAND,1591
18,19/06/2006,RD944,SALBRIS VERS BOURGES,467
18,29/10/2008,RD2076,SANCOINS vers BOURGES,714
18,09/03/2009,RN151,BOURGES vers ISSOUDUN,992
18,02/04/2009,"Boulevard Gambetta, face au n°20",Carrefour de Verdun vers Place Rabelais,4579
18,16/09/2009,RD976,Bourges vers Nevers,1118
18,22/09/2009,RD976,NEVERS VERS BOURGES,829
18,29/10/2010,RD940,AUBIGNY SUR NERE vers BOURGES,3887
18,29/07/2011,RD955,SANCERRE vers BOURGES,1974
18,29/09/2011,RD23,BOURGES vers Ste THORETTE,316
19,26/10/2005,RD1089,TULLE VERS BRIVE LA GAILLARDE,3194
19,23/12/2005,RD901,OBJAT vers BRIVE LA GAILLARDE,2102
19,13/02/2006,RD38,MEYSSAC vers BRIVE LA GAILLARDE,750
19,09/02/2007,RD1120,TULLE VERS ARGENTAT,432
19,14/11/2007,RD1120,TULLE vers UZERCHE,3854
19,28/01/2008,A89,Tulle vers Clermont,2338
19,27/05/2009,RD1089,Tulle vers Ussel,1674
19,24/06/2009,RD901,LUBERSAC vers ST YRIEIX LA PERCHE,671
19,20/10/2009,RD1120,TULLE vers ARGENTAT,349
19,30/09/2010,RD902,UZERCHE vers LUBERSAC,678
19,17/02/2011,RD979,MESTES vers BORT LES ORGUES,971
19,02/05/2011,A89,CLERMONT FERRAND vers BORDEAUX,6104
21,10/12/2004,"48, BD DES ALLOBROGES",TALANT VERS ST APOLLINAIRE,3696
21,17/01/2005,A6,PARIS VERS LYON,93477
21,29/03/2005,A38,POUILLY EN AUXOIS VERS DIJON,1333
21,14/04/2005,RD981,ARNAY LE DUC vers POUILLY EN AUXOIS,1800
21,28/04/2005,RD968,ST JEAN DE LOSNE vers DIJON,2508
21,07/11/2005,RD974,CHAGNY VERS BEAUNE,712
21,15/02/2006,A31,NANCY VERS BEAUNE,14378
21,05/09/2008,RD996,Seurre vers Dijon,122
21,17/09/2008,RD974,DIJON vers LANGRES,2574
21,11/05/2009,RD107,Quetigny vers Dijon,4173
21,01/01/2011,RD974,BEAUNE VERS DIJON,3066
21,07/02/2011,RD905,Dijon vers Auxonne,228
21,23/03/2011,RD903,IS SUR TILLE vers DIJON,3271
21,08/06/2011,RD905,AUXONNE vers DIJON,13587
21,14/10/2011,RD974,BEAUNE vers MEURSAULT,523
22,05/04/2005,RN12,RENNES VERS BREST,5042
22,18/08/2005,RN12,RENNES VERS BREST,3193
22,18/01/2006,RN12,BREST VERS RENNES,3846
22,21/01/2006,RN12,BREST VERS RENNES,9857
22,31/01/2006,RN164,CHATEAULIN VERS RENNES,1640
22,03/02/2006,RN164,RENNES VERS CHATEAULIN,1026
22,12/06/2006,RD786,ERQUY VERS ST BRIEUC,679
22,30/06/2006,RD6,PAIMPOL vers ST BRIEUC,1219
22,10/08/2006,RN164,CHATEAULIN VERS MONTAUBAN,6158
22,10/08/2006,RD790,QUINTIN VERS ST BRIEUC,147
22,06/04/2007,RN164,MONTAUBAN VERS CHATEAULIN,1567
22,14/04/2008,RN176,DOL DE BRETAGNE vers LAMBALLE,5113
22,28/04/2008,RD7,CHATELAUDREN vers QUINTIN,693
22,28/04/2008,RD786,PAIMPOL vers LEZARDRIEUX,1846
22,01/07/2009,RD791,LAMBALLE vers ST ALBAN,2107
22,27/05/2010,RD700,ST BRIEUC vers LOUDEAC,201
22,02/11/2010,RD9,Lanvollon vers Guingamp,2617
22,08/02/2011,RD767,Guingamp vers Lannion,311
22,18/04/2011,RD766,Caulnes vers Dinan,12691
22,03/11/2011,RD768,LAMBALLE vers PLANCOET,758
22,22/03/2012,RD790,ROSTRENEN vers ST BRIEUC,11938
22,20/04/2012,RN176,Dinan vers Lamballe,210
22,03/05/2012,RN176,DINAN vers DOL DE BRETAGNE,808
22,09/08/2013,RD14,Lamballe vers La Malhoure,615
22,04/11/2013,RN12,MORLAIX vers GUINGAMP,1871
23,19/01/2005,RD982,LA COURTINE vers FELLETIN,409
23,13/07/2005,RN145,BELLAC VERS GUERET,735
23,20/05/2008,RD942,AUBUSSON vers GUERET,2615
